,t,fire_0_x,fire_0_y,fire_1_x,fire_1_y,fire_2_x,fire_2_y,fire_3_x,fire_3_y,fire_4_x,fire_4_y,police_0_x,police_0_y,police_1_x,police_1_y,police_2_x,police_2_y,police_3_x,police_3_y,police_4_x,police_4_y,guard_0_x,guard_0_y,guard_1_x,guard_1_y,guard_2_x,guard_2_y,guard_3_x,guard_3_y,guard_4_x,guard_4_y
34,34,-5.554132023746739,-9.495449208940686,-2.0503251465794707,-6.333237385137417,0.3007629962387653,-8.292234982300721,-8.019989962832417,-6.021423953773635,-5.337198497771427,7.055811608641444,-4.785196396441819,11.070720843419155,5.1565444849052815,2.953773137563383,4.361941152339887,-5.103277616967131,0.1593432884045453,-0.8138552220029704,-4.486422569830436,-10.930394246179246,-2.133767717579956,-7.035223309677807,-0.22937363101069097,5.885821703316623,-8.777275903122773,-0.97324590605166,10.630181981638657,-10.455656352221045,-4.535509301248277,5.426514425655547
35,35,-5.952092046471906,-9.795286481678195,-2.3294153220816525,-6.7828730067270415,0.24250736922279192,-8.550427069195761,-8.501436006051126,-6.188184159380117,-5.409550262068013,7.287487745003433,-4.887080228767483,11.381340277698774,5.657951675197235,3.2164159292859695,4.716416448611701,-5.475519678463126,0.19910679880903723,-0.8689570923751672,-4.688291290678386,-11.341860270733488,-2.354793696099332,-7.717692589930645,-0.30893488181401385,6.106512449572255,-8.88333951413889,-1.0880856041978972,10.764760106024971,-10.863333905834168,-4.937522024772599,5.906012376316767
36,36,-6.413993081317704,-10.031300112938524,-2.6902980756293076,-7.171014238742664,0.1971055036720006,-8.831156353603841,-9.023974908656253,-6.412475408782202,-5.432456658132538,7.57239632942128,-4.916555864635536,11.759783554032715,6.154711699971053,3.3881074289042954,4.982561768837906,-5.946025925887103,0.16977570900103187,-1.0071132807758663,-4.828144374491325,-11.734100144849647,-2.487908540916372,-8.367873945979875,-0.347145741754895,6.28794045793171,-9.05285229513888,-1.234427511830302,10.892165181856834,-11.319678442149362,-5.2614411837604775,6.373708530345184
37,37,-6.975498538684539,-10.226690705140197,-3.0342045882239628,-7.520070828981456,0.24262116256986566,-9.173055568607793,-9.502105956742085,-6.607109926338255,-5.397622340849572,7.88953365600602,-5.042731104819193,12.202696797694006,6.663586659533621,3.6148279314843013,5.2424102739214895,-6.32749687674195,0.13404581454869186,-1.0845472963146072,-4.98057402343475,-12.184866860112102,-2.634582312650929,-8.92352154367174,-0.3130937933777088,6.418970304550018,-9.239781273890733,-1.3110683363656987,10.931427282907674,-11.870099946481735,-5.660386922073359,6.784838784703125
38,38,-7.526430355985389,-10.383126803401673,-3.354104805892772,-7.960621753025834,0.2455859584095451,-9.551667680287292,-10.024642758343363,-6.864154544727991,-5.335171920696156,8.169196687661087,-5.148221386466604,12.589838517342276,7.154219560218353,3.811397308948872,5.426640755781168,-6.767042417621866,0.020830733622321004,-1.1388038182507945,-5.0417195704649,-12.572817954863982,-2.830591711890714,-9.44914593359431,-0.2949675314651202,6.628749705876125,-9.503535285293689,-1.4034244060918137,10.87332461233846,-12.507203899299057,-6.155593630075986,7.272958103731648
39,39,-8.136738006893962,-10.541170204487663,-3.735969466760483,-8.360917874668079,0.15051597650534115,-9.857124391406034,-10.45317230459376,-7.115846894165719,-5.349240837242562,8.350682549041853,-5.285067860878634,12.976375777960518,7.577125763835651,3.9218387020356342,5.625721912479192,-7.253357666370181,-0.04853226918202852,-1.1865629207028578,-5.176613060599051,-12.891562999467125,-3.0242439767163702,-9.92798992826387,-0.2700457149532487,6.793371255176815,-9.804727364873825,-1.4538267689459605,10.820039095037224,-13.175976263377951,-6.605990162931635,7.825231193585848
40,40,-8.659996871282274,-10.772703430893058,-4.2063642108201975,-8.706122927176212,0.07291013019158905,-10.092885572680064,-10.78789454611649,-7.420675434074223,-5.264061873961339,8.620234204288863,-5.475676129841695,13.296869293118881,8.005021623659111,4.098746504588747,5.763889876012204,-7.708315681657776,-0.15663274148769588,-1.1549041250124576,-5.322931017343191,-13.125341976065748,-3.1765074212143127,-10.337845374055977,-0.3232801304102878,6.944302370496545,-10.11472978231028,-1.5280674485547727,10.691801100861019,-13.766234508202198,-7.155846751564085,8.441056767566067
41,41,-9.137622468107201,-11.045989515928301,-4.774738893106768,-8.98751119809927,0.06940749045712405,-10.271882722097823,-11.16557649542603,-7.674919629080681,-5.178858791936449,8.829962680135907,-5.646068518331886,13.703862514385651,8.386321745412403,4.246639308561714,5.861162009376128,-8.248204839975934,-0.36020128073130564,-1.189820933715768,-5.501544473076686,-13.415581441969454,-3.2730092189209494,-10.74871558643105,-0.31936376946002565,7.1478088456962725,-10.49616067993309,-1.7006776410535431,10.537299315071506,-14.382151137100367,-7.727048265434783,9.045897304460997
42,42,-9.65380622024183,-11.283364796933306,-5.3802778783402845,-9.246028432800296,0.11162178253010052,-10.367718113112415,-11.484326964292888,-7.835553387575985,-5.05889327620331,9.10991936473381,-5.880118818434015,14.109655607106504,8.832204101447727,4.307640930044484,5.953433564894089,-8.855156300453313,-0.4837243084643793,-1.1394801950911992,-5.6991100319288694,-13.697823729952836,-3.392327235515376,-11.166006315762479,-0.22524949505027836,7.416651786256902,-10.787550088594454,-1.943485363764832,10.337793436147653,-14.969662962063486,-8.349199454988861,9.731666834826413
43,43,-10.087615832212753,-11.559524240650907,-6.067773826214581,-9.482251151573385,0.2321978827382254,-10.445985186488153,-11.787163645898552,-8.062021725145737,-5.014898001821182,9.36286276691858,-6.172739826799575,14.587500332575226,9.277903856078122,4.3032361131001,6.018210019497371,-9.41634356164436,-0.5644814629007497,-1.0668863079230957,-5.871997075791394,-13.900942394517699,-3.421776483309947,-11.638686329823274,-0.12475115005727534,7.777463230056224,-11.172582625043875,-2.210197584838421,10.113593496640155,-15.465323504746914,-9.00079385256586,10.423416442058887
44,44,-10.491318457557016,-11.744304178780732,-6.753675544513797,-9.80701253059895,0.401313373255309,-10.521699683722561,-12.173074485537443,-8.335540028558482,-4.993172219470346,9.666045795628229,-6.531394071033589,15.10601487023779,9.72087789026228,4.385686029776512,6.026659013394592,-9.947280573616391,-0.6451256623887835,-0.9040648527523717,-6.0248354436481035,-14.131537553509549,-3.4094135749339443,-12.083551883197888,-0.0518314478065349,8.154641576852125,-11.48536700455708,-2.4506243985263674,9.868892276612804,-16.04234946008023,-9.74178452410505,11.178698677463114
45,45,-10.964800316137662,-11.869745480816649,-7.404619726802828,-10.051329895958794,0.6515639903725488,-10.49929405217824,-12.631629193586901,-8.666349130483201,-5.005979341016905,9.94610427781974,-6.953558187157137,15.691503376776843,10.166092748646111,4.3922673507941346,5.984986995160279,-10.429742192758411,-0.806610598379564,-0.7775529120411052,-6.15924595272499,-14.454003309184069,-3.466768697180437,-12.57899419123804,-0.04099394783172121,8.550841493342887,-11.86123718934987,-2.7070738220391695,9.551349255643585,-16.612356298857705,-10.456036151596532,11.916513899925484
46,46,-11.353581685912815,-12.020791002577226,-8.036452843103044,-10.36286293753556,0.893122041515301,-10.444567502157486,-13.074068046228094,-8.987940185336836,-4.941263346121598,10.159631215008313,-7.425738143377572,16.34949710718565,10.606677348969392,4.392080527571119,5.927477411926201,-10.864425391678976,-0.9703170872167561,-0.7330539078719289,-6.225533121163401,-14.842691594588093,-3.449367552743808,-12.984209909170076,-0.11556565884086242,8.986446083017707,-12.328031513410089,-2.937610048151689,9.306507978339011,-17.22035306633622,-11.111232635567479,12.659962774849987
